image,prompt,overall_similarity,element_min_similarity,element_avg_similarity
932722-2.png,"A lively show featuring a magician on stage wearing a classic tuxedo, holding a shiny wand, and pulling a white rabbit from a black top hat while an audience claps in amazement.",34.34375,7.69921875,21.10091145833333
37608-1.png,"Illustrate the Greek letter alpha, represented by the symbol 'Î±', with a flowing and symmetrical form, highlighting its prominence as the first letter in the Greek alphabet.",30.578125,10.953125,24.569679054054053
324740-1.png,"A rectangular suitcase with rounded corners, featuring a sturdy handle at the top, made from durable polycarbonate material, smooth to the touch with a glossy finish, metallic locks securing its sides, rubber wheels underneath for easy mobility, typically in a neutral color like black or navy.",32.625,11.3828125,21.3974609375
740584-3.png,"Runners crafted with a streamlined silhouette, incorporating air mesh upper for breathability, padded tongue, and responsive cushioning in subtle or vibrant hues.",30.46875,11.71875,22.374479166666667
559562-2.png,"A succulent piece of roasted chicken breast, browned on the outside with a tender, juicy interior.",26.640625,11.859375,19.683035714285715
935665-1.png,"A diverse chorus of singers arranged on tiered platforms, each member wearing colorful coordinated attire.",29.671875,12.3515625,21.556875
828085-3.png,"Showcase an assortment of greens, each leafy plant illustrated with vivid green leaves featuring diverse shapes and textures, highlighting details such as variegated patterns, serrated edges, and natural lushness.",29.25,12.5390625,24.56277573529412
120266-2.png,"An asphalt driveway, subtly curving as it approaches a residential garage, distinctly free of cracks and with marked tire tracks leading from the road.",34.90625,12.6171875,23.962332589285715
633583-2.png,A pressure gauge with a clear digital display on a rectangular face; enclosed in a durable plastic shell; buttons for setting units; protruding connector for attaching to hoses.,30.890625,12.8125,21.748125
796325-3.png,"Visualize a tennis net displaying its interlocking fibers, aligned perfectly perpendicular to the court's baseline, with the distinctive white band marking at the top for precision.",37.25,12.9375,23.491319444444443
251698-1.png,"A grand piano with a glossy black finish, showing its wide lid partially opened; the full keyboard of 88 keys extending across; pedals visible beneath with brass fittings; a polished wooden surface catching reflections.",30.609375,12.953125,21.02209595959596
581812-3.png,"A thick, hardcover album with blank, off-white pages, each one showing slight yellowing at the edges, measuring around 10 by 12 inches.",28.828125,13.015625,20.856584821428573
884740-3.png,"Various hobby items such as model kits, puzzle pieces, and art supplies casually organized.",30.9375,13.03125,25.025625
837421-1.png,"A cinnamon tree with smooth reddish-brown bark and glossy green leaves, native to the island of Sri Lanka.",32.125,13.171875,24.01199127906977
907546-1.png,"A wooden prop, tapered at ends and cylindrical, placed securely to support a tilted structure, showing grainy texture and slight wear.",32.65625,13.203125,23.2890625
600671-1.png,"A standard ambulance with a white body featuring red crosses, flashing lights on top, and large side windows.",34.34375,13.3359375,21.37589285714286
251698-2.png,"A classical upright piano, compact and elegantly simple, with a smooth mahogany finish; full set of black and white keys; music stand protruding above the keys; visible carved detailing around the edges.",30.859375,13.375,23.801491477272727
859239-1.png,"A marker pen, showcasing its cylindrical body with a sturdy plastic exterior and the cap slightly open to reveal the thick felt tip, often seen in vibrant colors like black, blue, or red.",32.5,13.53125,22.207139756944443
51643-2.png,"An interior view of a bathroom showcasing a pristine white bathtub, a mounted shower head, and nearby towel racks, exemplifying the standard elements found in this home fixture.",26.8125,13.6171875,21.518098958333333
638878-2.png,"A cluster of plump blueberries with a dusty blue surface, small and round, resting on a few green leaves.",32.8125,13.6171875,22.440848214285715
